Book Title 📚,Book Rank 🏆,Book Link 🔗,Author Name 👤,Author Link 🔗,Author Birthdate 🎂
"
The Adventures of Huckleberry Finn
",55,https://www.goodreads.com//book/show/2956.The_Adventures_of_Huckleberry_Finn,Mark Twain,https://www.goodreads.com/author/show/1244.Mark_Twain,"November 30, 1835"
"
Where the Wild Things Are
",56,https://www.goodreads.com//book/show/19543.Where_the_Wild_Things_Are,Maurice Sendak,https://www.goodreads.com/author/show/4489.Maurice_Sendak,"June 10, 1928"
"
Harry Potter and the Deathly Hallows (Harry Potter, #7)
",57,https://www.goodreads.com//book/show/136251.Harry_Potter_and_the_Deathly_Hallows,J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,"July 31, 1965"
"
Green Eggs and Ham
",58,https://www.goodreads.com//book/show/23772.Green_Eggs_and_Ham,Dr. Seuss,https://www.goodreads.com/author/show/61105.Dr_Seuss,"March 02, 1904"
"
The Giver (The Giver, #1)
",59,https://www.goodreads.com//book/show/3636.The_Giver,Lois Lowry,https://www.goodreads.com/author/show/2493.Lois_Lowry,Birthdate not found
"
The Handmaid’s Tale (The Handmaid's Tale, #1)
",60,https://www.goodreads.com//book/show/38447.The_Handmaid_s_Tale,Margaret Atwood,https://www.goodreads.com/author/show/3472.Margaret_Atwood,Birthdate not found
"
Life of Pi
",61,https://www.goodreads.com//book/show/4214.Life_of_Pi,Yann Martel,https://www.goodreads.com/author/show/811.Yann_Martel,"June 25, 1963"
"
A Tale of Two Cities
",62,https://www.goodreads.com//book/show/1953.A_Tale_of_Two_Cities,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,"February 07, 1812"
"
Lolita
",63,https://www.goodreads.com//book/show/7604.Lolita,Vladimir Nabokov,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,"April 22, 1899"
"
Dune (Dune, #1)
",64,https://www.goodreads.com//book/show/44767458-dune,Frank Herbert,https://www.goodreads.com/author/show/58.Frank_Herbert,"October 08, 1920"
"
Slaughterhouse-Five
",65,https://www.goodreads.com//book/show/4981.Slaughterhouse_Five,Kurt Vonnegut Jr.,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut_Jr_,"November 11, 1922"
"
Water for Elephants
",66,https://www.goodreads.com//book/show/43641.Water_for_Elephants,Sara Gruen,https://www.goodreads.com/author/show/24556.Sara_Gruen,Birthdate not found
"
Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)
",67,https://www.goodreads.com//book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,"July 31, 1965"
"
The Bell Jar
",68,https://www.goodreads.com//book/show/6514.The_Bell_Jar,Sylvia Plath,https://www.goodreads.com/author/show/4379.Sylvia_Plath,"October 27, 1932"
"
The Stand
",69,https://www.goodreads.com//book/show/149267.The_Stand,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,Birthdate not found
"
Matilda
",70,https://www.goodreads.com//book/show/39988.Matilda,Roald Dahl,https://www.goodreads.com/author/show/4273.Roald_Dahl,"September 13, 1916"
"
Catch-22
",71,https://www.goodreads.com//book/show/168668.Catch_22,Joseph Heller,https://www.goodreads.com/author/show/3167.Joseph_Heller,"May 01, 1923"
"
The Pillars of the Earth (Kingsbridge, #1)
",72,https://www.goodreads.com//book/show/5043.The_Pillars_of_the_Earth,Ken Follett,https://www.goodreads.com/author/show/3447.Ken_Follett,Birthdate not found
"
The Adventures of Sherlock Holmes (Sherlock Holmes, #3)
",73,https://www.goodreads.com//book/show/3590.The_Adventures_of_Sherlock_Holmes,Arthur Conan Doyle,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,"May 22, 1859"
"
Watership Down (Watership Down, #1)
",74,https://www.goodreads.com//book/show/76620.Watership_Down,Richard  Adams,https://www.goodreads.com/author/show/7717.Richard_Adams,"May 09, 1920"
"
Great Expectations
",75,https://www.goodreads.com//book/show/2623.Great_Expectations,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,"February 07, 1812"
"
Rebecca
",76,https://www.goodreads.com//book/show/17899948-rebecca,Daphne du Maurier,https://www.goodreads.com/author/show/2001717.Daphne_du_Maurier,"May 13, 1907"
"
Harry Potter and the Philosopher’s Stone (Harry Potter, #1)
",77,https://www.goodreads.com//book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone,J.K. Rowling,https://www.goodreads.com/author/show/1077326.J_K_Rowling,"July 31, 1965"
"
Outlander (Outlander, #1)
",78,https://www.goodreads.com//book/show/10964.Outlander,Diana Gabaldon,https://www.goodreads.com/author/show/3617.Diana_Gabaldon,Birthdate not found
"
The Girl with the Dragon Tattoo (Millennium, #1)
",79,https://www.goodreads.com//book/show/2429135.The_Girl_with_the_Dragon_Tattoo,Stieg Larsson,https://www.goodreads.com/author/show/706255.Stieg_Larsson,"August 15, 1954"
"
The Color Purple
",80,https://www.goodreads.com//book/show/52892857-the-color-purple,Alice Walker,https://www.goodreads.com/author/show/7380.Alice_Walker,"February 09, 1944"
"
One Flew Over the Cuckoo's Nest
",81,https://www.goodreads.com//book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,Ken Kesey,https://www.goodreads.com/author/show/7285.Ken_Kesey,"September 17, 1935"
"
The Fellowship of the Ring (The Lord of the Rings, #1)
",82,https://www.goodreads.com//book/show/61215351-the-fellowship-of-the-ring,J.R.R. Tolkien,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,"January 03, 1892"
"
My Sister's Keeper
",83,https://www.goodreads.com//book/show/10917.My_Sister_s_Keeper,Jodi Picoult,https://www.goodreads.com/author/show/7128.Jodi_Picoult,Birthdate not found
"
Anna Karenina
",84,https://www.goodreads.com//book/show/15823480-anna-karenina,Leo Tolstoy,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,"September 09, 1828"
"
The Brothers Karamazov
",85,https://www.goodreads.com//book/show/4934.The_Brothers_Karamazov,Fyodor Dostoevsky,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoevsky,"November 11, 1821"
"
A Tree Grows in Brooklyn
",86,https://www.goodreads.com//book/show/14891.A_Tree_Grows_in_Brooklyn,Betty  Smith,https://www.goodreads.com/author/show/2327917.Betty_Smith,"December 15, 1896"
"
A Clockwork Orange
",87,https://www.goodreads.com//book/show/41817486-a-clockwork-orange,Anthony Burgess,https://www.goodreads.com/author/show/5735.Anthony_Burgess,"February 25, 1917"
"
The Road
",88,https://www.goodreads.com//book/show/6288.The_Road,Cormac McCarthy,https://www.goodreads.com/author/show/4178.Cormac_McCarthy,"July 20, 1933"
"
And Then There Were None
",89,https://www.goodreads.com//book/show/16299.And_Then_There_Were_None,Agatha Christie,https://www.goodreads.com/author/show/123715.Agatha_Christie,"September 15, 1890"
"
Angela's Ashes (Frank McCourt, #1)
",90,https://www.goodreads.com//book/show/252577.Angela_s_Ashes,Frank McCourt,https://www.goodreads.com/author/show/3347.Frank_McCourt,"August 19, 1930"
"
The Golden Compass (His Dark Materials, #1)
",91,https://www.goodreads.com//book/show/119322.The_Golden_Compass,Philip Pullman,https://www.goodreads.com/author/show/3618.Philip_Pullman,"October 19, 1946"
"
Vampire Academy (Vampire Academy, #1)
",92,https://www.goodreads.com//book/show/345627.Vampire_Academy,Richelle Mead,https://www.goodreads.com/author/show/137902.Richelle_Mead,Birthdate not found
"
Siddhartha
",93,https://www.goodreads.com//book/show/52036.Siddhartha,Hermann Hesse,https://www.goodreads.com/author/show/1113469.Hermann_Hesse,"July 02, 1877"
"
To Kill a Mockingbird
",94,https://www.goodreads.com//book/show/2654.To_Kill_a_Mockingbird,Harper Lee,https://www.goodreads.com/author/show/1825.Harper_Lee,"April 28, 1926"
"
It
",95,https://www.goodreads.com//book/show/830502.It,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,Birthdate not found
"
The Shining (The Shining, #1)
",96,https://www.goodreads.com//book/show/11588.The_Shining,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,Birthdate not found
"
The Complete Stories and Poems
",97,https://www.goodreads.com//book/show/23919.The_Complete_Stories_and_Poems,Edgar Allan Poe,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,"January 19, 1809"
"
Interview with the Vampire (The Vampire Chronicles, #1)
",98,https://www.goodreads.com//book/show/43763.Interview_with_the_Vampire,Anne Rice,https://www.goodreads.com/author/show/7577.Anne_Rice,"October 04, 1941"
"
Don Quixote
",99,https://www.goodreads.com//book/show/3836.Don_Quixote,Miguel de Cervantes Saavedra,https://www.goodreads.com/author/show/4037220.Miguel_de_Cervantes_Saavedra,"July 11, 1547"
"
The Poisonwood Bible
",100,https://www.goodreads.com//book/show/7244.The_Poisonwood_Bible,Barbara Kingsolver,https://www.goodreads.com/author/show/3541.Barbara_Kingsolver,"April 08, 1955"
